id,away_losses,away_wins,home_losses,home_wins
400974437,1,0,0,1
400974438,0,1,1,0
400974439,1,0,0,1
400974440,1,0,0,1
400974441,1,0,0,1
400974442,0,1,1,0
400974443,0,2,1,1
400974444,1,1,2,0
400974445,18,15,16,17
400974446,10,24,7,27
400974447,15,19,10,27
400974448,7,25,15,19
400974449,13,21,21,11
400974700,1,0,0,1
400974701,1,0,0,1
400974702,1,0,0,1
400974703,0,1,2,0
400974704,1,0,0,1
400974705,0,1,1,0
400974766,1,0,0,1
400974767,0,1,1,0
400974768,0,2,1,0
400974769,1,0,0,1
400974770,1,1,1,1
400974771,0,2,1,1
400974772,2,1,2,0
400974773,1,1,0,2
400974774,1,1,1,1
400974775,1,1,1,1
400974776,1,1,2,0
400974777,1,1,2,0
400974778,3,0,0,2
400974779,1,2,1,2
400974780,2,1,1,1
400974781,1,2,2,0
400974782,0,2,2,0
400974783,3,0,0,3
400974784,2,1,0,2
400974785,1,2,1,2
400974786,2,1,1,1
400974787,1,1,1,2
400974788,3,0,0,2
400974789,2,1,1,2
400974790,1,2,2,1
400974791,2,1,2,1
400974792,3,1,2,2
400974793,3,1,1,2
400974794,0,3,1,3
400974795,2,1,1,3
400974796,2,2,4,0
400974797,1,2,0,3
400974798,0,3,2,1
400974799,3,1,3,1
400974800,3,0,1,3
400974801,2,2,1,3
400974802,3,0,2,2
400974803,2,2,2,2
400974804,3,1,1,3
400974805,2,2,0,3
400974806,3,1,2,2
400974807,3,2,2,3
400974808,1,4,4,1
400974809,2,3,2,3
400974810,0,4,2,2
400974811,3,2,2,2
400974812,1,3,4,1
400974813,3,2,3,2
400974814,2,2,2,3
400974815,1,3,2,2
400974816,4,1,3,1
400974817,5,1,1,4
400974818,2,3,2,3
400974819,0,4,2,3
400974820,3,2,4,1
400974821,1,5,3,2
400974822,1,4,1,4
400974823,3,2,5,1
400974824,3,3,3,1
400974825,3,2,3,3
400974826,2,3,2,4
400974827,2,3,3,2
400974828,3,3,3,3
400974829,2,4,3,2
400974830,3,3,4,1
400974831,2,5,1,5
400974832,4,2,6,1
400974833,4,2,3,3
400974834,4,2,2,4
400974835,2,4,1,4
400974836,2,4,6,1
400974837,2,4,3,3
400974838,3,3,4,3
400974839,2,4,3,3
400974840,2,4,5,1
400974841,3,2,4,3
400974842,2,5,3,4
400974843,3,4,2,5
400974844,3,4,4,2
400974845,4,3,3,3
400974846,4,3,3,5
400974847,3,4,2,5
400974848,2,5,4,3
400974849,7,1,3,4
400974850,2,4,3,4
400974851,3,5,2,4
400974852,6,1,3,4
400974853,4,3,5,3
400974854,3,4,3,4
400974855,3,5,4,3
400974856,4,4,3,5
400974857,3,5,5,3
400974858,7,1,4,4
400974859,4,4,3,4
400974860,7,1,2,6
400974861,5,1,4,3
400974862,3,6,4,3
400974863,2,6,3,5
400974864,3,5,5,3
400974865,3,4,4,4
400974866,4,4,3,5
400974867,8,1,2,5
400974868,3,6,4,4
400974869,5,3,4,5
400974870,5,4,3,6
400974871,5,2,3,6
400974872,4,5,4,5
400974873,5,4,4,4
400974874,3,7,8,1
400974875,5,4,4,4
400974876,5,4,9,1
400974877,4,5,4,5
400974878,5,3,4,5
400974879,3,5,4,5
400974880,2,7,4,4
400974881,6,3,5,4
400974882,3,6,3,5
400974883,8,1,3,7
400974884,5,5,6,2
400974885,10,1,3,6
400974886,3,7,5,5
400974887,8,2,6,4
400974888,5,4,4,5
400974889,2,8,4,6
400974890,4,5,4,5
400974891,5,5,3,8
400974892,6,4,4,6
400974893,5,5,4,5
400974894,5,5,3,7
400974895,5,4,4,6
400974896,4,6,5,5
400974897,2,9,9,2
400974898,6,4,7,4
400974899,6,4,3,8
400974900,6,4,6,5
400974901,5,6,6,5
400974902,10,2,5,5
400974903,6,5,4,6
400974904,7,2,4,6
400974905,5,5,4,7
400974906,7,4,5,6
400974907,4,6,6,5
400974908,4,7,5,6
400974909,6,4,8,2
400974910,7,5,3,8
400974911,5,6,4,7
400974912,6,5,2,10
400974913,6,5,8,4
400974914,4,7,3,9
400974915,7,5,5,6
400974916,6,6,4,7
400974917,7,5,3,9
400974918,5,6,8,3
400974919,7,4,5,7
400974920,10,2,3,9
400974921,7,5,2,11
400974922,7,6,8,2
400974923,6,5,7,5
400974924,6,5,5,7
400974925,4,8,9,4
400974926,6,6,7,5
400974927,7,5,6,6
400974928,11,2,5,7
400974929,7,5,6,7
400974930,9,3,5,7
400974931,5,7,3,10
400974932,7,6,11,2
400974933,8,5,6,6
400974934,9,2,5,8
400974935,6,6,3,10
400974936,5,8,5,8
400974937,5,7,9,5
400974938,8,5,7,6
400974939,5,7,2,12
400974940,7,6,3,10
400974941,3,11,8,6
400974942,12,2,7,6
400974943,10,3,5,8
400974944,7,7,6,7
400974945,6,7,6,7
400974946,12,2,6,8
400974947,8,6,10,5
400974948,5,8,8,6
400974949,6,8,6,7
400974950,6,8,3,11
400974951,6,7,8,5
400974952,2,13,9,5
400974953,5,8,4,11
400974954,5,9,13,2
400974955,11,3,12,3
400974956,5,9,8,6
400974957,9,6,6,8
400974958,7,8,8,5
400974959,8,7,7,7
400974960,4,10,6,8
400974961,6,9,5,9
400974962,5,9,7,8
400974963,10,2,7,7
400974964,7,8,6,8
400974965,6,8,9,6
400974966,4,11,2,14
400974967,4,12,11,5
400974968,5,10,8,8
400974969,8,7,6,9
400974970,10,6,9,6
400974971,9,5,7,9
400974972,7,8,5,10
400974973,9,5,10,3
400974974,8,7,6,10
400974975,5,10,14,2
400974976,7,8,11,4
400974977,8,8,6,9
400974978,11,6,10,6
400974979,10,5,9,6
400974980,10,7,8,8
400974981,2,15,13,3
400974982,4,12,7,8
400974983,4,13,8,7
400974984,7,8,14,3
400974985,12,4,7,9
400974986,8,9,9,7
400974987,4,13,10,6
400974988,7,9,5,11
400974989,5,11,6,10
400974990,11,3,11,7
400974991,7,9,10,7
400974992,7,10,9,7
400974993,7,10,6,11
400974994,8,10,9,8
400974995,11,7,7,9
400974996,11,5,7,9
400974997,7,10,9,7
400974998,7,10,8,8
400974999,9,7,8,9
400975000,2,16,15,3
400975001,14,3,6,11
400975002,7,10,13,4
400975003,12,3,10,8
400975004,8,10,9,8
400975005,11,6,7,11
400975006,8,10,7,10
400975007,11,6,15,3
400975008,3,16,9,8
400975009,6,11,7,10
400975010,8,10,4,14
400975011,15,4,10,7
400975012,10,8,7,11
400975013,7,11,8,10
400975014,5,13,9,8
400975015,8,9,12,7
400975016,13,3,11,8
400975017,11,8,13,5
400975018,8,11,12,6
400975019,8,10,15,4
400975020,11,8,3,17
400975021,10,8,7,12
400975022,7,11,8,11
400975023,9,9,8,11
400975024,6,12,10,8
400975025,11,7,8,11
400975026,8,11,13,7
400975027,14,3,5,14
400975028,7,12,11,8
400975029,12,8,7,11
400975030,8,12,9,10
400975031,7,12,16,4
400975032,3,18,9,11
400975033,9,10,4,15
400975034,11,8,15,5
400975035,9,11,5,15
400975036,9,9,11,9
400975037,11,7,14,5
400975038,9,10,15,3
400975039,14,7,8,12
400975040,12,7,12,7
400975041,13,8,9,12
400975042,7,13,8,11
400975043,6,13,4,18
400975044,8,13,10,10
400975045,13,7,4,16
400975046,16,5,7,13
400975047,14,6,6,15
400975048,12,8,11,8
400975049,10,10,7,14
400975050,14,8,16,3
400975051,9,11,9,12
400975052,9,11,11,10
400975053,9,10,15,6
400975054,15,8,6,14
400975055,12,8,13,9
400975056,10,11,8,12
400975057,11,10,10,11
400975058,12,8,7,13
400975059,10,12,4,17
400975060,9,13,10,11
400975061,13,8,17,5
400975062,13,7,7,14
400975063,6,16,13,8
400975064,7,15,17,4
400975065,9,12,4,19
400975066,17,3,9,12
400975067,9,11,9,13
400975068,11,11,12,8
400975069,6,17,14,9
400975070,11,12,7,14
400975071,7,14,10,12
400975072,13,8,11,11
400975073,15,7,18,3
400975074,7,15,14,7
400975075,10,13,12,9
400975076,11,11,11,12
400975077,16,8,4,20
400975078,13,8,17,6
400975079,17,5,14,8
400975080,15,7,7,16
400975081,8,14,9,13
400975082,16,7,9,12
400975083,14,8,9,13
400975084,11,12,10,13
400975085,14,10,11,11
400975086,6,18,12,11
400975087,14,8,10,14
400975088,8,15,12,10
400975089,4,18,15,8
400975090,15,10,13,9
400975091,12,11,11,13
400975092,16,9,10,13
400975093,14,9,18,5
400975094,10,12,4,21
400975095,7,17,19,3
400975096,11,14,15,8
400975097,6,19,12,12
400975098,10,13,17,7
400975099,9,14,8,16
400975100,11,12,11,13
400975101,17,9,7,15
400975102,12,13,12,11
400975103,11,13,11,13
400975104,17,7,7,18
400975105,20,3,11,14
400975106,19,5,15,11
400975107,18,7,4,22
400975108,16,8,12,12
400975109,6,20,14,9
400975110,10,14,10,13
400975111,11,13,12,13
400975112,13,11,8,17
400975113,11,15,15,8
400975114,15,9,11,13
400975115,11,14,18,9
400975116,13,11,14,10
400975117,4,19,13,13
400975118,20,4,15,9
400975119,6,21,11,14
400975120,8,18,11,15
400975121,11,14,16,11
400975122,7,16,17,8
400975123,19,7,10,14
400975124,17,8,13,13
400975125,5,22,8,18
400975126,12,14,15,9
400975127,13,12,15,10
400975128,15,10,16,9
400975129,17,11,19,6
400975130,12,13,8,19
400975131,13,12,20,5
400975132,14,13,10,15
400975133,13,12,18,8
400975134,8,19,19,9
400975135,4,20,12,13
400975136,7,17,18,8
400975137,5,23,12,14
400975138,12,14,11,16
400975139,20,7,11,16
400975140,13,13,13,14
400975141,20,6,13,13
400975142,6,23,20,6
400975143,14,14,4,21
400975144,13,13,19,8
400975145,16,10,14,12
400975146,13,13,6,22
400975147,8,17,15,10
400975148,21,6,8,20
400975149,12,15,13,14
400975150,16,10,13,14
400975151,13,14,15,11
400975152,13,14,12,16
400975153,9,19,20,8
400975154,20,9,18,9
400975155,14,13,12,16
400975156,15,11,18,11
400975157,20,8,13,15
400975158,13,15,6,24
400975159,13,14,14,13
400975160,15,13,20,7
400975161,11,15,14,15
400975162,8,18,21,9
400975163,17,10,4,22
400975164,13,15,22,6
400975165,13,15,16,11
400975166,17,10,8,21
400975167,19,9,12,17
400975168,21,8,6,23
400975169,14,14,18,10
400975170,13,16,13,16
400975171,13,15,19,11
400975172,14,14,14,14
400975173,16,11,13,16
400975174,15,14,7,24
400975175,17,11,8,19
400975176,23,6,20,9
400975177,20,8,12,15
400975178,15,15,13,16
400975179,10,19,4,23
400975180,13,16,19,10
400975181,16,14,8,22
400975182,15,14,13,16
400975183,17,11,14,15
400975184,13,15,4,24
400975185,21,10,13,17
400975186,22,8,10,20
400975187,7,25,21,9
400975188,20,9,8,20
400975189,20,11,13,17
400975190,13,17,18,11
400975191,8,23,14,16
400975192,14,16,19,11
400975193,7,26,14,17
400975194,15,15,23,7
400975195,15,14,20,9
400975196,17,14,4,25
400975197,14,16,13,18
400975198,14,16,15,15
400975199,21,11,23,8
400975200,18,11,10,21
400975201,6,24,18,10
400975202,20,10,16,14
400975203,16,15,14,17
400975204,9,23,13,16
400975205,8,21,20,11
400975206,14,18,24,7
400975207,15,16,8,26
400975208,20,11,19,11
400975209,21,11,20,10
400975210,18,11,5,25
400975211,18,14,15,16
400975212,14,17,23,9
400975213,13,19,15,16
400975214,10,22,15,16
400975215,22,9,6,25
400975216,22,11,18,12
400975217,21,10,9,24
400975218,8,22,17,14
400975219,9,26,14,17
400975220,23,9,22,12
400975221,11,22,18,15
400975222,15,17,14,18
400975223,16,16,22,11
400975224,15,17,19,12
400975225,24,9,15,17
400975226,18,13,6,25
400975227,21,11,13,17
400975228,25,7,15,17
400975229,15,17,16,16
400975230,19,11,6,26
400975231,18,14,8,23
400975232,14,17,21,12
400975233,20,12,14,19
400975234,23,11,15,18
400975235,25,9,25,8
400975236,22,10,9,27
400975237,16,17,16,17
400975238,19,13,23,10
400975239,15,18,19,15
400975240,15,18,7,26
400975241,13,20,23,12
400975242,16,17,20,11
400975243,11,23,21,11
400975244,15,19,14,19
400975245,9,23,25,10
400975246,24,11,16,18
400975247,22,11,15,17
400975248,21,12,11,24
400975249,20,15,15,19
400975250,24,10,23,13
400975251,22,11,19,14
400975252,10,28,22,12
400975253,25,11,16,19
400975254,16,19,25,9
400975255,17,17,22,12
400975256,16,19,13,22
400975257,22,12,16,18
400975258,10,23,15,20
400975259,11,24,22,12
400975260,21,15,7,28
400975261,24,11,22,11
400975262,15,19,24,12
400975263,8,25,10,29
400975264,14,22,15,18
400975265,18,17,11,25
400975266,19,15,16,18
400975267,9,25,16,20
400975268,26,9,10,24
400975269,22,13,17,18
400975270,17,19,22,13
400975271,25,12,17,18
400975272,15,19,16,20
400975273,23,14,23,12
400975274,22,13,8,28
400975275,19,15,23,11
400975276,12,25,15,20
400975277,17,19,25,12
400975278,18,18,18,18
400975279,17,18,26,10
400975280,12,24,21,16
400975281,25,11,8,29
400975282,19,16,17,19
400975283,23,13,16,21
400975284,14,23,18,19
400975285,23,13,10,30
400975286,24,11,9,26
400975287,25,13,17,20
400975288,23,13,19,16
400975289,25,12,24,12
400975290,19,17,24,14
400975291,26,12,23,14
400975292,16,19,10,25
400975293,17,19,24,13
400975294,25,11,14,24
400975295,18,19,12,25
400975296,12,26,19,18
400975297,27,10,24,15
400975298,23,14,25,12
400975299,26,12,19,17
400975300,9,27,27,12
400975301,13,26,19,18
400975302,20,18,16,22
400975303,15,24,23,15
400975304,16,20,17,20
400975305,13,25,10,31
400975306,10,26,25,13
400975307,19,19,16,20
400975308,8,30,26,13
400975309,25,15,17,20
400975310,18,19,22,16
400975311,17,21,26,11
400975312,8,31,10,27
400975313,17,22,20,17
400975314,21,18,17,21
400975315,17,20,19,19
400975316,16,24,10,32
400975317,10,27,17,20
400975318,25,14,27,13
400975319,26,15,13,27
400975320,23,16,17,21
400975321,16,23,27,12
400975322,28,10,18,20
400975323,23,15,27,11
400975324,8,32,21,17
400975325,10,33,24,15
400975326,11,27,17,21
400975327,26,14,19,20
400975328,13,26,28,12
400975329,17,21,17,23
400975330,19,19,16,25
400975331,18,21,25,13
400975332,24,16,17,22
400975333,21,19,28,13
400975334,18,22,26,16
400975335,14,27,18,21
400975336,29,10,27,12
400975337,18,21,19,21
400975338,10,28,25,15
400975339,11,28,27,14
400975340,14,26,16,26
400975341,18,21,19,20
400975342,14,28,26,13
400975343,19,21,8,33
400975344,30,10,21,18
400975345,17,23,11,28
400975346,18,22,19,22
400975347,29,12,28,14
400975348,27,13,27,13
400975349,28,15,24,15
400975350,17,24,20,21
400975351,24,17,18,23
400975352,18,22,26,15
400975353,27,15,22,19
400975354,19,22,11,29
400975355,20,20,27,13
400975356,30,12,18,22
400975357,20,22,16,27
400975358,30,11,20,21
400975359,21,19,9,33
400975360,10,34,20,19
400975361,15,26,11,29
400975362,21,20,28,13
400975363,15,28,27,14
400975364,25,17,24,16
400975365,16,26,20,22
400975366,31,12,18,24
400975367,26,16,31,11
400975368,9,34,19,22
400975369,23,19,16,28
400975370,20,22,20,21
400975371,28,13,20,22
400975372,11,30,27,16
400975373,27,15,29,15
400975374,29,13,21,21
400975375,20,23,25,16
400975376,27,16,18,25
400975377,9,35,12,29
400975378,19,22,27,16
400975379,21,22,15,29
400975380,20,22,17,25
400975381,20,22,24,19
400975382,20,23,28,16
400975383,21,22,16,29
400975384,25,17,20,22
400975385,13,29,20,20
400975386,20,23,19,25
400975387,16,29,31,12
